23370;NORRHOG;SWEDEN;62.283;15.667;320;;;
23380;EDSBYN;SWEDEN;61.367;15.717;185;;;
23430;TORPSHAMMAR;SWEDEN;62.5;16.283;100;;;
23470;DELSBO;SWEDEN;61.833;16.55;72;;;
23550;KUGGOREN;SWEDEN;61.7;17.533;10;;;
23660;TIMRA/MIDLANDA;SWEDEN;62.517;17.45;8;;;
23680;BRAMON;SWEDEN;62.217;17.75;18;;;
23760;SODERHAMN;(SWE-AFB);SWEDEN;61.267;17.1;36;;
23780;SODERHAMN;FLYGPLATS;SWEDEN;61.45;17.167;27;;
23820;LUNGO;SWEDEN;62.65;18.1;18;;;
24000;OSTMARK;SWEDEN;60.35;12.65;310;;;
24030;NAVEN;SWEDEN;58.7;13.117;53;;;
24040;ARVIKA;SWEDEN;59.667;12.583;75;;;
24060;BLOMSKOG;SWEDEN;59.283;12.05;110;;;
24080;BLOMSKOG;SWEDEN;59.217;12.083;171;;;
24090;AMAL;SWEDEN;59.05;12.7;60;;;
24100;MALUNG;SWEDEN;60.683;13.717;308;;;
24110;ARVIKA;SWEDEN;59.667;12.633;67;;;
24150;KARLSTAD;SOL;SWEDEN;59.367;13.467;46;;
24180;KARLSTAD;FLYGPLATS;SWEDEN;59.45;13.467;100;;
24230;SUNNE;SWEDEN;59.867;13.117;109;;;
24240;STALLDALEN;SWEDEN;59.95;14.95;210;;;
24260;GUSTAVSFORS;SWEDEN;60.15;13.8;188;;;
24283;OREBRO;SWEDEN;59.217;15.033;59;;;
24290;DAGLOSEN;SWEDEN;59.667;14.183;133;;;
24320;OREBRO;SWEDEN;59.233;15.05;55;;;
24350;BORLANGE;SWEDEN;60.433;15.517;150;;;
24360;OREBRO/EKEBY;(DEAD);SWEDEN;59.267;15.333;33;;
24400;AMOT;SWEDEN;60.967;16.433;162;;;
24410;MORA;SWEDEN;60.967;14.5;197;;;
24440;FOLKARNA;SWEDEN;60.167;16.317;80;;;
24460;VASTERAS/HASSLO;AFB;SWEDEN;59.583;16.633;31;;
24500;EGGEGRUND;SWEDEN;60.733;17.567;4;;;
24520;KILSBERGEN-SUTTARBOD;SWEDEN;59.3;14.9;219;;;
24530;GAVLE;SWEDEN;60.717;17.167;16;;;
24560;FILM;SWEDEN;60.233;17.9;35;;;
24580;UPPSALA;SWEDEN;59.9;17.6;21;;;
24600;STOCKHOLM/ARLANDA;SWEDEN;59.65;17.95;61;;;
24640;STOCKHOLM/BROMMA;SWEDEN;59.367;17.9;14;;;
24680;STORA;SPANSBERGET;SWEDEN;60.383;15.133;493;;
24690;TULLINGE;SWEDEN;59.183;17.917;45;;;
24740;SINGO;ISLAND;SWEDEN;60.167;18.75;14;;
24760;FLODA;SWEDEN;59.05;16.4;33;;;
24810;SALA;SWEDEN;59.917;16.683;58;;;
24820;KERSTINBO;SWEDEN;60.267;16.983;57;;;
24853;SKAVSTA;SWEDEN;58.783;16.9;44;;;
24860;ADELSO;SWEDEN;59.367;17.517;6;;;
24880;ORSKAR;SWEDEN;60.533;18.383;9;;;
24900;SVANBERGA;SWEDEN;59.833;18.633;16;;;
24960;SVENSKA;HOGARNA;SWEDEN;59.45;19.5;12;;
25000;NORDKOSTER;SWEDEN;58.9;11;35;;;
25050;MASESKAR;SWEDEN;58.1;11.333;16;;;
25080;MASESKAR;(LGT-H);SWEDEN;58.1;11.35;14;;
25103;TROLLHATTAN;VANERSB;SWEDEN;58.317;12.333;43;;
25105;DATSAV3;VIRT;STATION;(SINGAPORE);SINGAPORE;1.383;103.717;0
25120;GOTEBORG/SAVE;SWEDEN;57.783;11.883;16;;;
25130;GOTEBORG;SWEDEN;57.717;12;2;;;
25160;VINGA;SWEDEN;57.633;11.617;19;;;
25180;NIDINGEN;SWEDEN;57.3;11.9;2;;;
25200;SATENAS;SWEDEN;58.433;12.717;54;;;
25230;TROLLHATTAN/VANERS;SWEDEN;58.317;12.333;43;;;
25240;MOLLA;SWEDEN;57.933;13.067;190;;;
25260;GOTEBORG/LANDVETTER;SWEDEN;57.667;12.3;169;;;
25300;NASHUVUD;SWEDEN;58.9;13.25;50;;;
25350;SKOVDE;AIRPORT;SWEDEN;58.45;13.967;105;;
25360;RANGEDALA;SWEDEN;57.783;13.167;299;;;
25410;SNAVLUNDA;SWEDEN;58.967;14.9;144;;;
25420;HALLUM;SWEDEN;58.317;13.033;71;;;
